2025-08-14 01:41:53 - TRADE | SELL | 516710 | reaction=0ms | execution=1294ms | total=1294ms | grade=B | roi_v2=27.0%
2025-08-14 01:41:53 - TRADE | SELL | 516710 | reaction=0ms | execution=1011ms | total=1011ms | grade=B | roi_v2=45.5%
2025-08-14 01:41:53 - TRADE | SELL | 516710 | reaction=0ms | execution=1283ms | total=1283ms | grade=B | roi_v2=27.0%
2025-08-14 01:41:53 - TRADE | SELL | 516710 | reaction=0ms | execution=1283ms | total=1283ms | grade=B | roi_v2=27.0%
2025-08-14 01:41:53 - TRADE | SELL | 516710 | reaction=0ms | execution=1288ms | total=1288ms | grade=B | roi_v2=27.0%
2025-08-14 01:41:53 - TRADE | SELL | 516711 | reaction=0ms | execution=1285ms | total=1285ms | grade=B | roi_v2=27.9%
2025-08-14 01:41:53 - TRADE | BUY | 516711 | reaction=0ms | execution=1276ms | total=1276ms | grade=B | roi_v2=37.5%
2025-08-14 01:41:53 - TRADE | SELL | 516711 | reaction=0ms | execution=1285ms | total=1285ms | grade=B | roi_v2=27.9%
2025-08-14 01:41:53 - TRADE | SELL | 516711 | reaction=0ms | execution=1291ms | total=1291ms | grade=B | roi_v2=27.9%
2025-08-14 01:41:53 - TRADE | SELL | 516711 | reaction=0ms | execution=1010ms | total=1010ms | grade=B | roi_v2=45.5%
2025-08-14 01:41:53 - TRADE | SELL | 516712 | reaction=0ms | execution=1263ms | total=1263ms | grade=B | roi_v2=20.0%
2025-08-14 01:41:53 - TRADE | SELL | 516712 | reaction=0ms | execution=998ms | total=998ms | grade=A | roi_v2=38.5%
2025-08-14 01:41:53 - TRADE | SELL | 516712 | reaction=0ms | execution=1271ms | total=1271ms | grade=B | roi_v2=20.0%
2025-08-14 01:41:53 - TRADE | SELL | 516712 | reaction=0ms | execution=1263ms | total=1263ms | grade=B | roi_v2=20.0%
2025-08-14 01:41:53 - TRADE | SELL | 516712 | reaction=0ms | execution=1265ms | total=1265ms | grade=B | roi_v2=20.0%
2025-08-14 01:42:25 - TRADE | SELL | 502517 | reaction=0ms | execution=1281ms | total=1281ms | grade=B | roi_v2=27.0%
2025-08-14 01:42:25 - TRADE | SELL | 502517 | reaction=0ms | execution=1013ms | total=1013ms | grade=B | roi_v2=45.5%
2025-08-14 01:42:25 - TRADE | SELL | 502517 | reaction=0ms | execution=1276ms | total=1276ms | grade=B | roi_v2=27.0%
2025-08-14 01:42:25 - TRADE | SELL | 502517 | reaction=0ms | execution=1291ms | total=1291ms | grade=B | roi_v2=27.0%
2025-08-14 01:42:25 - TRADE | SELL | 502517 | reaction=0ms | execution=1009ms | total=1009ms | grade=B | roi_v2=44.6%
2025-08-14 01:42:25 - TRADE | SELL | 516706 | reaction=0ms | execution=997ms | total=997ms | grade=A | roi_v2=40.2%
